date,fragmentation
2008-09-30,8.2617154624e-06
2008-10-31,8.510289217599998e-06
2008-11-30,8.879029252900001e-06
2008-12-31,1.3424896000000002e-05
2009-01-31,1.3204211737599999e-05
2009-02-28,1.4019857376099996e-05
2009-03-31,1.517959521e-05
2009-04-30,1.66067660196e-05
2009-05-31,1.66931079184e-05
2009-06-30,1.5912918809999997e-05
2009-07-31,1.4555751040000002e-05
2009-08-31,1.520610025e-05
2009-09-30,1.7966747238400005e-05
2009-10-31,2.4388387171600005e-05
2009-11-30,2.742051333160001e-05
2009-12-31,2.6601250369599996e-05
2010-01-31,2.5642070440000003e-05
2010-02-28,2.5750042802499994e-05
2010-03-31,2.5749535359999998e-05
2010-04-30,2.28642723556e-05
2010-05-31,2.1090137759999998e-05
2010-06-30,1.9626937852900004e-05
2010-07-31,1.7287633465599995e-05
2010-08-31,1.81811843236e-05
2010-09-30,2.30831241601e-05
2010-10-31,2.7127013889599997e-05
2010-11-30,2.70256499044e-05
2010-12-31,2.5190762521599998e-05
2011-01-31,2.204678116e-05
2011-02-28,2.40357809169e-05
2011-03-31,2.77353902736e-05
2011-04-30,3.441922490409999e-05
2011-05-31,3.83203093156e-05
2011-06-30,4.16737384704e-05
2011-07-31,3.60223234596e-05
2011-08-31,4.101633936e-05
2011-09-30,4.6199480880399997e-05
2011-10-31,4.935793127039999e-05
2011-11-30,5.348216292249999e-05
2011-12-31,6.462745037440001e-05
2012-01-31,6.81592243396e-05
2012-02-29,8.035365456039999e-05
2012-03-31,9.08777076804e-05
2012-04-30,0.00011582839276960001
2012-05-31,0.0001391805343504
2012-06-30,0.00017637088342090007
2012-07-31,0.00018650053851040002
2012-08-31,0.0002096350702884
2012-09-30,0.00024445822822559995
2012-10-31,0.0002956446402624
2012-11-30,0.0003278457043801
2012-12-31,0.0003943258663696
2013-01-31,0.00037689252423840007
2013-02-28,0.00043283262943690003
2013-03-31,0.00048534909880960003
2013-04-30,0.0005514282759000999
2013-05-31,0.0006642155708643999
2013-06-30,0.0007531709404816
2013-07-31,0.0008386781248036
2013-08-31,0.0010524600058896
2013-09-30,0.0011523546783225
2013-10-31,0.0014760011199376002
2013-11-30,0.0018139890219025002
2013-12-31,0.0024818012405823995
2014-01-31,0.0024055061923216
2014-02-28,0.0026521902603364005
2014-03-31,0.0031928873518096003
2014-04-30,0.0036552870534609
2014-05-31,0.0041000919014415995
2014-06-30,0.004633603861536399
2014-07-31,0.005212490557856399
2014-08-31,0.005560482071449601
2014-09-30,0.005714560179984101
2014-10-31,0.0067877100427536
2014-11-30,0.0069152945430625
2014-12-31,0.0098108708040256
2015-01-31,0.009585475181593603
2015-02-28,0.009305121944563599
2015-03-31,0.010686047422755602
2015-04-30,0.011630915014758401
2015-05-31,0.0134761033430244
2015-06-30,0.015623062560062496
2015-07-31,0.017910704441574405
2015-08-31,0.018741555240040005
2015-09-30,0.0199500850523529
2015-10-31,0.021584540245568398
2015-11-30,0.024323421785702397
2015-12-31,0.029545498295041606
2016-01-31,0.02835482837876641
2016-02-29,0.0280441176118884
2016-03-31,0.031122308677825596
2016-04-30,0.03421775208376811
2016-05-31,0.0380843265222436
2016-06-30,0.04280532999236009
2016-07-31,0.047305554002559994
2016-08-31,0.0478090294556176
2016-09-30,0.0494983426657729
2016-10-31,0.0558952864289856
2016-11-30,0.061290860337408104
2016-12-31,0.07493763900675998
2017-01-31,0.07359385841633442
2017-02-28,0.07080081213300839
2017-03-31,0.0728846432088336
2017-04-30,0.0865416841249024
2017-05-31,0.0961844873613376
2017-06-30,0.10825244950276001
2017-07-31,0.1191080076672784
2017-08-31,0.12233987835859238
2017-09-30,0.11887613767395613
2017-10-31,0.1234574897164324
2017-11-30,0.13027867979630442
2017-12-31,0.14114079710641003
2018-01-31,0.1467336152318976
2018-02-28,0.1369280400356521
2018-03-31,0.1418652827640064
2018-04-30,0.14731066878691843
2018-05-31,0.1601377576390656
2018-06-30,0.1653627178984225
2018-07-31,0.17077430622231043
2018-08-31,0.17652506455929956
2018-09-30,0.17708433843320998
2018-10-31,0.17786653386990758
2018-11-30,0.19738413195083562
2018-12-31,0.2398483431770596
2019-01-31,0.2059624676415744
2019-02-28,0.20292787878652888
2019-03-31,0.2061973466645764
2019-04-30,0.2227626283525696
2019-05-31,0.2389107371222016
2019-06-30,0.25562022680922014
2019-07-31,0.25271635878936033
2019-08-31,0.2630692412156176
2019-09-30,0.24637313047361437
2019-10-31,0.24493814509830758
2019-11-30,0.26810354306086565
2019-12-31,0.30563531630784363
2020-01-31,0.27557750004665754
2020-02-29,0.27532977709593764
2020-03-31,0.3239219104283044
2020-04-30,0.3499045229841984
2020-05-31,0.3543007052570897
2020-06-30,0.3547387048403025
2020-07-31,0.36929610565886434
2020-08-31,0.3688874814987664
2020-09-30,0.35406127212903044
2020-10-31,0.35897729537017947
2020-11-30,0.3775145906990657
2020-12-31,0.39771301512180646
2021-01-31,0.39821375334723996
2021-02-28,0.3896016336377928
2021-03-31,0.38304451305481
2021-04-30,0.4038370672926976
2021-05-31,0.41747480190441005
2021-06-30,0.43534171429849
2021-07-31,0.4631411159198784
2021-08-31,0.46009808000809
2021-09-30,0.43410972960960154
2021-10-31,0.4416921763925475
2021-11-30,0.4470999637105155
2021-12-31,0.4922819345793636
2022-01-31,0.48896583423924633
2022-02-28,0.4713951997467076
2022-03-31,0.49532447424212644
2022-04-30,0.5318722909680625
2022-05-31,0.5349199224768402
2022-06-30,0.5727537172084037
2022-07-31,0.6010263620292101
2022-08-31,0.5843050973781904
